Account,T/D,S/D,Currency,Type,Side,Symbol,Qty,Price,Exec Time,Comm,SEC,TAF,NSCC,Nasdaq,ECN Remove,ECN Add,Gross Proceeds,Net Proceeds,Clr Broker,Liq,Note
XY000001,08/08/2022,08/10/2022,USD,3,SS,RBLX,50,49.88,09:47:59,0,0.06,0.01,0,0,0,0,2494,2493.93,SIM,,
XY000001,08/08/2022,08/10/2022,USD,3,BC,RBLX,25,49.65,09:48:22,0,0,0,0,0,0,0,-1241.25,-1241.25,SIM,,
XY000001,08/08/2022,08/10/2022,USD,3,BC,RBLX,25,49.89,09:48:45,0,0,0,0,0,0,0,-1247.25,-1247.25,SIM,,
XY000001,08/08/2022,08/10/2022,USD,3,SS,RBLX,100,50.5,10:01:17,0,0.12,0.02,0,0,0,0,5050,5049.86,SIM,,
XY000001,08/08/2022,08/10/2022,USD,3,BC,RBLX,100,50.72,10:02:14,0,0,0,0,0,0,0,-5072,-5072,SIM,,
XY000001,08/08/2022,08/10/2022,USD,3,SS,RBLX,100,50.74,10:03:01,0,0.12,0.02,0,0,0,0,5074,5073.86,SIM,,
XY000001,08/08/2022,08/10/2022,USD,3,BC,RBLX,50,50.53,10:04:21,0,0,0,0,0,0,0,-2526.5,-2526.5,SIM,,
XY000001,08/08/2022,08/10/2022,USD,3,BC,RBLX,50,50.74,10:05:41,0,0,0,0,0,0,0,-2537,-2537,SIM,,
XY000001,08/08/2022,08/10/2022,USD,3,SS,SQ,100,90.93,10:25:15,0,0.21,0.02,0,0,0,0,9093,9092.77,SIM,,
XY000001,08/08/2022,08/10/2022,USD,3,BC,SQ,50,90.67,10:25:45,0,0,0,0,0,0,0,-4533.5,-4533.5,SIM,,
XY000001,08/08/2022,08/10/2022,USD,3,BC,SQ,25,90.31,10:27:11,0,0,0,0,0,0,0,-2257.75,-2257.75,SIM,,
XY000001,08/08/2022,08/10/2022,USD,3,BC,SQ,13,90,10:27:18,0,0,0,0,0,0,0,-1170,-1170,SIM,,
XY000001,08/08/2022,08/10/2022,USD,3,BC,SQ,12,89.9,10:27:25,0,0,0,0,0,0,0,-1078.8,-1078.8,SIM,,
XY000001,08/08/2022,08/10/2022,USD,2,B,SQ,50,82.07,10:09:21,0,0,0,0,0,0,0,-4103.5,-4103.5,SIM,,
XY000001,08/08/2022,08/10/2022,USD,2,S,SQ,50,81.82,10:09:51,0,0.1,0.01,0,0,0,0,4091,4090.89,SIM,,
